2011/04/13,BUY
2011/04/21,SELL
2011/04/28,BUY
2011/05/19,SELL
2011/06/27,BUY
2011/07/08,SELL
2011/07/27,BUY
2011/08/05,SELL
2011/08/25,BUY
2011/09/02,SELL
2011/09/23,BUY
2011/09/30,SELL
2011/10/21,BUY
2011/10/28,SELL
2011/11/18,BUY
2011/11/28,SELL
2011/12/06,BUY
2011/12/27,SELL
2012/01/03,BUY
2012/01/05,SELL
2012/01/13,BUY
2012/02/03,SELL
2012/02/10,BUY
2012/03/02,SELL
2012/03/12,BUY
2012/04/02,SELL
2012/04/10,BUY
2012/05/01,SELL
2012/05/09,BUY
2012/05/28,SELL
2012/06/07,BUY
2012/06/22,SELL
2012/06/28,BUY
2012/07/06,SELL
2012/07/13,BUY
2012/08/03,SELL
2012/08/14,BUY
2012/09/12,SELL
2012/09/20,BUY
2012/10/11,SELL
2012/10/19,BUY
2012/11/09,SELL
2012/11/16,BUY
2012/12/07,SELL
2012/12/17,BUY
2013/01/15,SELL
2013/01/23,BUY
2013/02/01,SELL
2013/02/07,BUY
2013/02/13,SELL
2013/02/22,BUY
2013/03/14,SELL
2013/03/22,BUY
2013/04/12,SELL
2013/04/19,BUY
2013/05/20,SELL
2013/05/29,BUY
2013/06/14,SELL
2013/06/28,BUY
2013/07/08,SELL
2013/07/19,BUY
2013/07/26,SELL
2013/08/16,BUY
2013/08/23,SELL
2013/08/30,BUY
2013/09/20,SELL
2013/09/30,BUY
2013/10/21,SELL
2013/10/29,BUY
2013/11/28,SELL
2013/12/06,BUY
2013/12/27,SELL
2014/01/06,BUY
2014/01/27,SELL
2014/02/04,BUY
2014/03/04,SELL
2014/03/12,BUY
2014/04/02,SELL
2014/04/10,BUY
2014/05/01,SELL
2014/05/09,BUY
2014/05/29,SELL
2014/06/06,BUY
2014/06/18,SELL
2014/07/08,BUY
2014/07/18,SELL
2014/08/07,BUY
2014/08/15,SELL
2014/09/05,BUY
2014/09/12,SELL
2014/10/03,BUY
2014/10/10,SELL
2014/10/17,BUY
2014/11/07,SELL
2014/11/17,BUY
2014/12/08,SELL
2014/12/17,BUY
2015/01/16,SELL
2015/01/23,BUY
2015/02/13,SELL
2015/02/23,BUY
2015/03/16,SELL
2015/03/24,BUY
2015/04/21,SELL
2015/04/29,BUY
2015/05/20,SELL
2015/05/28,BUY
2015/06/18,SELL
2015/06/26,BUY
2015/07/08,SELL
2015/07/27,BUY
2015/08/06,SELL
2015/08/26,BUY
2015/09/03,SELL
2015/09/24,BUY
2015/10/02,SELL
2015/10/23,BUY
2015/10/30,SELL
2015/11/06,BUY
2015/11/27,SELL
2015/12/04,BUY
2015/12/24,SELL
2016/01/05,BUY
2016/02/04,SELL
2016/02/12,BUY
2016/03/04,SELL
2016/03/11,BUY
2016/04/01,SELL
2016/04/11,BUY
2016/05/02,SELL
2016/05/09,BUY
2016/06/07,SELL
2016/06/16,BUY
2016/07/06,SELL
2016/07/15,BUY
2016/08/05,SELL
2016/08/12,BUY
2016/08/24,SELL
2016/09/12,BUY
2016/09/21,SELL
2016/10/11,BUY
2016/10/20,SELL
2016/11/09,BUY
2016/11/17,SELL
2016/12/08,BUY
2016/12/16,SELL
2016/12/23,BUY
